studyweek,sleepnight,out,log_studyweek,log_sleepnight,log_out,gender
25,7.0,3.0,1.3979400086720377,0.8450980400142568,0.47712125471966244,0
25,8.0,2.0,1.3979400086720377,0.9030899869919435,0.3010299956639812,1
14,9.0,3.0,1.146128035678238,0.9542425094393249,0.47712125471966244,0
42,9.0,2.0,1.6232492903979006,0.9542425094393249,0.3010299956639812,1
3,7.0,2.0,0.47712125471966244,0.8450980400142568,0.3010299956639812,1
30,7.5,1.5,1.4771212547196624,0.8750612633917001,0.17609125905568124,0
14,6.5,3.0,1.146128035678238,0.8129133566428556,0.47712125471966244,1
2,8.0,4.0,0.3010299956639812,0.9030899869919435,0.6020599913279624,1
12,7.5,3.5,1.0791812460476249,0.8750612633917001,0.5440680443502757,1
35,8.0,4.0,1.5440680443502757,0.9030899869919435,0.6020599913279624,0
8,6.5,2.0,0.9030899869919435,0.8129133566428556,0.3010299956639812,0
15,6.0,1.0,1.1760912590556813,0.7781512503836436,0.0,0
10,8.0,3.0,1.0,0.9030899869919435,0.47712125471966244,0
30,6.0,2.0,1.4771212547196624,0.7781512503836436,0.3010299956639812,0
50,6.0,3.0,1.6989700043360187,0.7781512503836436,0.47712125471966244,0
20,6.0,2.0,1.3010299956639813,0.7781512503836436,0.3010299956639812,0
18,7.0,1.5,1.255272505103306,0.8450980400142568,0.17609125905568124,0
28,6.0,1.5,1.4471580313422192,0.7781512503836436,0.17609125905568124,0
15,6.0,1.0,1.1760912590556813,0.7781512503836436,0.0,0
10,7.0,3.0,1.0,0.8450980400142568,0.47712125471966244,0
15,7.0,1.0,1.1760912590556813,0.8450980400142568,0.0,0
6,8.0,1.0,0.7781512503836436,0.9030899869919435,0.0,0
11,7.0,1.5,1.041392685158225,0.8450980400142568,0.17609125905568124,0
10,7.0,2.0,1.0,0.8450980400142568,0.3010299956639812,0
13,6.0,3.5,1.1139433523068367,0.7781512503836436,0.5440680443502757,0
42,5.0,1.0,1.6232492903979006,0.6989700043360189,0.0,0
10,8.0,1.0,1.0,0.9030899869919435,0.0,0
12,8.0,2.0,1.0791812460476249,0.9030899869919435,0.3010299956639812,1
4,9.0,3.0,0.6020599913279624,0.9542425094393249,0.47712125471966244,0
20,6.0,3.0,1.3010299956639813,0.7781512503836436,0.47712125471966244,0
6,7.0,2.5,0.7781512503836436,0.8450980400142568,0.3979400086720376,0
10,8.0,3.0,1.0,0.9030899869919435,0.47712125471966244,0
4,5.0,1.0,0.6020599913279624,0.6989700043360189,0.0,1
10,8.5,3.5,1.0,0.9294189257142927,0.5440680443502757,0
20,7.0,3.0,1.3010299956639813,0.8450980400142568,0.47712125471966244,0
30,8.0,3.0,1.4771212547196624,0.9030899869919435,0.47712125471966244,1
